year,mes,dia,pcp_mm,evap_mm,TMAX_C,TMIN_C
1979,1,1,0,1.3,21,13.5
1979,1,2,0.5,1.3,23,13
1979,1,3,3,0.4,24,16.5
1979,1,4,0,1.3,21,10.5
1979,1,5,0,1.8,23.5,9
1979,1,6,0,1.5,23.5,10
1979,1,7,0,0.8,26.5,12
1979,1,8,0,0.7,23.5,13.5
1979,1,9,0,1.5,23.5,16.5
1979,1,10,0,2,26.5,18.5
1979,1,11,0,0.8,25.5,15
1979,1,12,0,1.3,18.1,16.5
1979,1,13,0,2.2,25,13.5
1979,1,14,0,0.2,26.5,14
1979,1,15,0,2,26.5,14.5
1979,1,16,0,1.5,26.5,17.5
1979,1,17,0,2.3,28.5,18.5
1979,1,18,0,2,26.5,19.5
1979,1,19,1,1.8,27,18.5
1979,1,20,2,0.9,27,19.5
1979,1,21,4,1.4,25,18.5
1979,1,22,8,0.2,29,19.5
1979,1,23,2,1.1,19.6,19.5
1979,1,24,0,2.1,17.5,8.5
1979,1,25,2.5,1.3,19.5,10.5
1979,1,26,4.5,3.8,26.5,12.5
1979,1,27,0,1.8,27.5,16
1979,1,28,0,0.9,21,16.5
1979,1,29,0,2.3,26,19
1979,1,30,1,1.3,26.5,19.5
1979,1,31,12,0.5,19.6,18.5
1979,2,10,0,1.71,20.5,12
1979,2,11,8.5,1.6,20.5,10
1979,2,12,0,1,18,10.5
1979,2,13,0,3.13,20,15
1979,2,14,0,2.14,23,10.5
1979,2,15,0,1.99,20.5,15
1979,2,16,0,0.84,27,17
1979,2,17,0,0.45,30.5,12.5
1979,2,18,2.5,1.1,22.5,12.5
1979,2,19,3,1.65,18,8.5
1979,2,20,0,2.16,13.5,10.5
1979,2,21,1,2.71,18.5,13.5
1979,2,22,0,1.03,27.5,15.5
1979,2,23,0,3.76,26.5,18
1979,2,24,0,3.39,27,18.5
1979,2,25,0,3.35,30,16.5
1979,2,26,0,3.38,30.5,13
1979,2,27,0,2.36,23.5,11.5
1979,2,28,0,2.37,23.5,13
1979,3,1,0,1.6,27.5,15.5
1979,3,2,0,3.6,30.5,16.5
1979,3,3,0,2.4,29,17.5
1979,3,4,0,1.6,27.5,15.5
1979,3,5,10.9,3.7,21.5,16
1979,3,6,4,1.6,25.5,13
